budget,revenue,popularity,country,vote_average,rtAllCriticsRating
2053648,5e5,2.778633,United States of America,7.8,6.7
2090000,4e7,4.289003,United States of America,6.6,6.1
100000000,937e5,24.939295,Germany,6.9,4.8
100000000,937e5,24.939295,United States of America,6.9,4.8
18000000,151668774,20.716023,United States of America,6.9,7.9
15000000,52970014,9.125594,United States of America,5.6,4.9
70000000,122919055,46.199482,United States of America,7.6,7.2
30000000,173959438,24.389194,Germany,5.6,4.4
30000000,173959438,24.389194,United States of America,5.6,4.4
40000000,138259062,17.61292,United States of America,5.4,3.1
40000000,8493890,5.201688,United States of America,6.3,5.4
10000000,40485039,25.929893,United States of America,6.7,6.3
5000000,11e7,20.428237,France,7.4,7.2
5000000,11e7,20.428237,United Kingdom,7.4,7.2
92000000,172989651,44.455166,United Kingdom,7.2,6.9
92000000,172989651,44.455166,United States of America,7.2,6.9
30000000,45892212,11.19602,United States of America,6.2,5.4
15000000,10903846,11.429607,United States of America,6.6,6.3
45000000,131183530,43.815492,United States of America,6.5,5.7
54000000,155010032,67.169587,Germany,6.2,6
54000000,155010032,67.169587,United States of America,6.2,6
65000000,128905366,49.660055,United States of America,5.7,4.5
35000000,40263020,8.737058,United States of America,6.3,6.1
2600000,1195e5,22.793929,United States of America,7.2,8.1
25000000,19844979,17.603823,Brazil,6.4,5.2
25000000,19844979,17.603823,Canada,6.4,5.2
25000000,19844979,17.603823,Japan,6.4,5.2
100000000,170877916,52.792678,Germany,7.3,6.3
100000000,170877916,52.792678,United States of America,7.3,6.3
50000000,26199517,10.089065,United States of America,6.1,5.6
25000000,2405420,7.008216,United States of America,3.5,2.3
1500000,11806119,17.49699,United States of America,6.6,4.3
53000000,83282296,28.350529,United States of America,7.4,5.8
18000000,12e6,13.628601,United States of America,7.3,7.5
25000000,51842679,11.42943,Germany,5.6,5
25000000,51842679,11.42943,United States of America,5.6,5
65000000,117758500,16.865782,Germany,6.1,4.8
65000000,117758500,16.865782,United States of America,6.1,4.8
20000000,8586376,7.034752,Germany,4.7,2.6
20000000,8586376,7.034752,United States of America,4.7,2.6
10000000,8801940,9.525626,United States of America,6.4,6.6
70000000,113280098,37.507136,United States of America,6.5,5.8
70000000,113280098,37.507136,United Kingdom,6.5,5.8
26000000,28780255,11.233081,United States of America,6.5,6.4
150000000,309979994,41.845878,United States of America,6.3,7.2
20000000,67192859,11.62423,United States of America,4.6,3.4
15000000,43101594,19.85579,United States of America,7.5,8.1
40000000,701e5,6.420434,United States of America,5.4,4.8
18000000,261572744,29.487784,United States of America,6.5,8
14000000,161001698,25.949277,United States of America,6.7,7.3
7000000,560069,11.700578,United States of America,6.8,6.6
5000000,4040588,6.174435,United States of America,6.6,5.6
4500000,7011317,15.359952,United States of America,6.9,7.7
4000000,35564473,11.414843,United States of America,7.3,8.2
16000000,20627372,9.119797,United States of America,5.4,3.8
2000000,11540607,15.557144,United States of America,7.2,7.9
6500000,57504069,17.705671,United States of America,7.4,8.3
72000000,21e7,60.722162,United States of America,7.7,7
25000000,50671850,14.340095,Canada,5.5,5.3
25000000,50671850,14.340095,United States of America,5.5,5.3
60000000,137587063,40.646102,United States of America,7,7.2
50000000,40203020,28.803802,France,6.1,4.7
50000000,40203020,28.803802,Germany,6.1,4.7
50000000,40203020,28.803802,Ireland,6.1,4.7
50000000,40203020,28.803802,United Kingdom,6.1,4.7
50000000,40203020,28.803802,United States of America,6.1,4.7
25000000,281929795,35.310712,France,6.5,6.8
25000000,281929795,35.310712,Ireland,6.5,6.8
25000000,281929795,35.310712,United Kingdom,6.5,6.8
25000000,281929795,35.310712,United States of America,6.5,6.8
1000000,852206,0.280083,United States of America,7.3,6.2
28000000,90449929,14.754281,United States of America,5.8,6
20000000,132675402,8.351385,United States of America,5.4,4.7
14000000,178043761,44.135568,Canada,7.5,8.2
14000000,178043761,44.135568,United States of America,7.5,8.2
25000000,13e6,7.296459,United States of America,6.2,4.7
50000000,150270147,22.769108,United States of America,5.7,5.8
8000000,458232,4.090382,United States of America,5.8,5.4
1500000,2375097,10.009994,United States of America,7.1,7
30000000,29202884,4.52363,United States of America,6.3,7
37000000,163720069,31.941347,United States of America,6.5,6.8
37000000,163720069,31.941347,United Kingdom,6.5,6.8
37000000,163720069,31.941347,France,6.5,6.8
6000000,102308889,24.499996,United States of America,7.4,8.1
1250000,3412497,4.45544,United States of America,5.3,3.7
5000000,5321508,49.333137,Italy,8.1,9
5000000,5321508,49.333137,Spain,8.1,9
5000000,5321508,49.333137,United States of America,8.1,9
6000000,39846344,15.929648,United States of America,6.6,6.5
10000000,25605015,11.350382,United States of America,6.1,5.4
35000000,1823e5,27.714043,United States of America,7,6.9
7000000,49084830,17.434862,Canada,6.8,8.2
7000000,49084830,17.434862,United States of America,6.8,8.2
57000000,62112895,9.061866,United Kingdom,5.5,4.4
57000000,62112895,9.061866,United States of America,5.5,4.4
57000000,62112895,9.061866,France,5.5,4.4
30000000,82394288,63.848541,United States of America,5.8,8
120000000,461983149,82.643036,United States of America,6.6,6.9
878000,10462500,43.729123,United States of America,7.9,9
52000000,116112375,40.06688,France,7.8,7.2
52000000,116112375,40.06688,United States of America,7.8,7.2
150000000,599045960,88.935165,Italy,7.3,7.8
150000000,599045960,88.935165,United Kingdom,7.3,7.8
150000000,599045960,88.935165,United States of America,7.3,7.8
150000000,599045960,88.935165,Czech Republic,7.3,7.8
150000000,599045960,88.935165,Germany,7.3,7.8
50000000,287928194,19.830132,United States of America,6,4.7
90000000,429632142,57.739713,United States of America,7.5,7.4
3000000,17570324,16.553594,United States of America,7.6,7.8
52000000,352114312,73.944049,United States of America,7.7,7.9
18000000,16702864,4.492859,United States of America,4.9,3.8
18000000,24911670,4.504377,United States of America,6.7,7.2
32000000,3566637,4.098444,United States of America,7.1,6.5
100000000,82102379,32.271938,United States of America,4.2,3.1
25000000,56422687,24.459948,Germany,6.1,5.8
25000000,56422687,24.459948,United States of America,6.1,5.8
18000000,17200925,6.961736,United States of America,6.8,5
2900000,5596708,5.928937,Brazil,7.6,7.9
50000000,60209334,20.58862,United States of America,5.3,4.1
55000000,113020255,27.50916,United States of America,7.3,6.3
45000000,94935764,17.270539,United States of America,5.9,7
5500000,58972904,10.439971,United Kingdom,6.8,7.4
75000000,119000410,18.70031,United States of America,6.5,7
120000000,259175788,33.616115,United States of America,5.2,5
85000000,144e6,14.132583,Germany,5.8,7
85000000,144e6,14.132583,United States of America,5.8,7
250000,12021272,20.601483,United States of America,6.7,7.5
40000000,190212113,26.516624,United States of America,6,4.6
60000000,129181830,18.831023,United States of America,5.7,3.6
150000000,314432665,47.973995,United States of America,5.6,5.4
45000000,224834564,31.789029,United Kingdom,6.5,8
13000000,35763605,16.681567,United States of America,5.8,4.2
76000000,69959751,35.387874,United Kingdom,7.4,8
76000000,69959751,35.387874,United States of America,7.4,8
70000000,11263966,3.276912,United States of America,5.3,3.3
25000000,152500343,28.727731,United Kingdom,6.8,6
25000000,152500343,28.727731,United States of America,6.8,6
3000000,3830137,11.637458,United States of America,6,5.6
3300000,30641770,44.356711,Brazil,8.1,8.3
3300000,30641770,44.356711,France,8.1,8.3
95000000,543514353,101.187052,United Kingdom,6.7,7.3
95000000,543514353,101.187052,United States of America,6.7,7.3
88000000,108539911,24.100863,United States of America,7.3,7.4
55000000,17869048,23.465539,United States of America,6.2,5.7
125000000,232713139,47.686442,United States of America,5.6,5.8
62000000,215887717,18.832471,United States of America,6.4,6.8
31115000,71e6,13.244365,United Kingdom,6.7,5.4
31115000,71e6,13.244365,United States of America,6.7,5.4
31115000,71e6,13.244365,Switzerland,6.7,5.4
5000000,26888376,18.077963,United States of America,6.9,6.1
82500000,237681299,41.176631,United States of America,6,4.8
70000000,255000211,26.19909,France,6.1,6.3
70000000,255000211,26.19909,Italy,6.1,6.3
70000000,255000211,26.19909,United States of America,6.1,6.3
26000000,38793283,5.894163,United States of America,4.9,4.7
20000000,303788635,52.456505,United States of America,7.2,8.6
27000000,115505027,22.636908,United States of America,6.7,6.6
25000000,170764026,46.942396,United States of America,6.4,6.7
8500000,5001655,2.62082,United States of America,5.1,4.4
30000000,76669806,23.234651,Germany,7.3,6.1
30000000,76669806,23.234651,United States of America,7.3,6.1
15000000,67182787,3.826685,United States of America,7.2,8.1
20000000,10337477,9.36146,United States of America,4.7,2.9
79000000,173013509,24.598479,United States of America,6.7,6.7
79000000,173013509,24.598479,United Kingdom,6.7,6.7
79000000,173013509,24.598479,Romania,6.7,6.7
79000000,173013509,24.598479,Italy,6.7,6.7
65000000,217764291,44.815022,United States of America,7,7.4
85000000,78382433,18.827753,United States of America,5.5,4
7000000,6230276,7.034618,United States of America,4.8,2.5
10000000,575e5,34.224204,United States of America,6.4,6
75000000,224012234,45.154631,United States of America,6.5,5.7
20000000,79114085,31.802807,United States of America,6.6,6.4
15000000,29331068,7.424798,Germany,5.1,3.8
15000000,29331068,7.424798,United States of America,5.1,3.8
50000000,152022101,10.755847,United States of America,5,3.6
20000000,11341016,6.102663,United States of America,6.4,5.1
1700000,97e5,18.828683,United States of America,6.1,5.5
75000000,136982834,22.179658,United States of America,6.5,6.2
90000000,171120329,55.249434,United States of America,7.2,6.8
450000,973525,4.442355,United Kingdom,6.2,6.5
450000,973525,4.442355,United States of America,6.2,6.5
14000000,154864401,22.409117,United States of America,6.8,6
15000000,44862187,19.284129,United States of America,6.6,6.5
11000000,23978402,3.495758,United States of America,4.1,2.8
40000000,117195061,43.571612,United States of America,7.2,7.2
46000000,100860818,12.971122,United States of America,6.2,7.3
45000000,113916474,26.79781,United States of America,5.8,3.9
25000000,56489558,12.837116,United States of America,5.8,4.5
12000000,42931041,47.992817,United States of America,6.6,6
6500000,98410061,28.223163,Germany,7.2,7.1
6500000,98410061,28.223163,United States of America,7.2,7.1
13000000,16929123,6.130096,United States of America,6.6,5.8
8000000,21028755,13.661289,United States of America,6.7,6
3500000,14e6,10.729884,United States of America,5.9,3.7
31500000,14708696,27.891012,United Kingdom,5.7,6.4
31500000,14708696,27.891012,United States of America,5.7,6.4
53000000,157387195,20.334629,United States of America,7,7.4
5000000,328203506,16.072466,Australia,6.3,6.6
21150000,39438674,6.081772,Australia,4.7,3.6
21150000,39438674,6.081772,United States of America,4.7,3.6
5800000,7e6,3.201886,United States of America,4.2,3.2
12000000,61141030,6.703319,United States of America,4.7,3.9
10500000,75902208,23.449703,United States of America,6.6,5.3
1000000,10047674,6.926926,United States of America,5.6,4
250000,501818,44.656151,Canada,6.9,6.1
50000000,69834815,9.894346,United States of America,6.2,6.1
98000000,10017322,7.029308,France,5.7,4.4
98000000,10017322,7.029308,Germany,5.7,4.4
98000000,10017322,7.029308,Italy,5.7,4.4
98000000,10017322,7.029308,United States of America,5.7,4.4
6000000,18197398,12.601677,United States of America,4.4,2.3
60000000,164433867,18.106021,United States of America,5.6,4.5
12800000,40031879,22.022228,Argentina,7.6,6.7
12800000,40031879,22.022228,Denmark,7.6,6.7
12800000,40031879,22.022228,Finland,7.6,6.7
12800000,40031879,22.022228,France,7.6,6.7
