budget,revenue,company
7000000,34266564,Edward R. Pressman Film
7000000,34266564,Muse Productions
55000000,231449203,Universal Pictures
55000000,231449203,Zide-Perry Productions
55000000,231449203,LivePlanet
55000000,231449203,Loumolo & Co.
36000000,74e6,DreamWorks SKG
2000000,20908467,Altavista Films
2000000,20908467,Zeta Film
20000000,7e6,Mpower Pictures
14000000,18535191,Miramax Films
14000000,18535191,Pyramide Productions
1000000,46243e3,Lawrence Bender Productions
1000000,46243e3,Paramount Classics
1000000,46243e3,Participant Media
30000000,18618284,Miramax Films
30000000,18618284,Revolution Studios
30000000,18618284,Persistent Entertainment
30000000,18618284,Initial Entertainment Group (IEG)
30000000,18618284,The Ladd Company
30000000,18618284,Kalis Productions GmbH & Co. Zweite KG
30000000,18618284,Unfinished Films
45000000,136885767,Columbia Pictures Corporation
45000000,136885767,Middle Fork Productions
45000000,136885767,Iguana Producciones
45000000,136885767,Skylight Cinema Foto Art
45000000,136885767,St. Tropez Films
45000000,136885767,Cinema Line Film Corporation
20000000,70992898,Screen Gems
20000000,70992898,Middle Fork Productions
60000000,55003135,Village Roadshow Pictures
60000000,55003135,NPV Entertainment
60000000,55003135,Warner Bros.
60000000,55003135,Tribeca Productions
60000000,55003135,Baltimore Spring Creek Pictures
60000000,55003135,Face Productions
80000000,176885658,Spring Creek Productions
80000000,176885658,Warner Bros.
80000000,176885658,Tribeca Productions
80000000,176885658,Baltimore Pictures
53000000,139804348,Twentieth Century Fox Film Corporation
53000000,139804348,Fox Animation Studios
53000000,139804348,Fox Family Films
53000000,139804348,The Big Gun Project
53000000,139804348,Little Wolf Entertainment
25,13,Paramount Pictures
25,13,Universal Pictures
2700000,141e6,Universal Pictures
2700000,141e6,Oregon Film Factory
2700000,141e6,Stage III Productions
65000000,133821816,Columbia Pictures
65000000,133821816,Olive Bridge Entertainment
65000000,133821816,Sony Pictures Entertainment (SPE)
65000000,133821816,Overbrook Entertainment
65000000,133821816,Marcy Media
4000000,38251425,United Artists
30000000,18195610,Industry Entertainment
30000000,18195610,Epsilon Motion Pictures
30000000,18195610,Hyde Park Films
30000000,18195610,Metro-Goldwyn-Mayer (MGM)
12500000,23367586,Fox Searchlight Pictures
12500000,23367586,Mundy Lane Entertainment
60000000,171757863,DreamWorks SKG
60000000,171757863,Pacific Data Images (PDI)
60000000,171757863,DreamWorks Animation
55000000,100230832,Donners' Company
55000000,100230832,Ixtlan
55000000,100230832,Warner Bros.
23000000,18653615,Twentieth Century Fox Film Corporation
23000000,18653615,Fox 2000 Pictures
31500000,89460381,United Artists
31500000,89460381,Zoetrope Studios
40000000,120175290,Icon Productions
40000000,120175290,Icon Entertainment International
40000000,120175290,Touchstone Pictures
52000000,355237933,Imagine Entertainment
52000000,355237933,Universal Pictures
20000000,20211394,New Line Cinema
20000000,20211394,Groundswell Productions
20000000,20211394,Axon Films
12000000,23006849,Fox 2000 Pictures
12000000,23006849,Storefront Pictures
31000000,53208180,Amblin Entertainment
31000000,53208180,Hollywood Pictures
31000000,53208180,Tangled Web Productions
32000000,97918663,Columbia Pictures
32000000,97918663,Revolution Studios
32000000,97918663,Cube Vision
140000000,553799566,Jerry Bruckheimer Films
140000000,553799566,Touchstone Pictures
140000000,553799566,Valhalla Motion Pictures
110000000,72178895,Studio Babelsberg
110000000,72178895,Walden Media
110000000,72178895,Babelsberg Film
110000000,72178895,Mostow/Lieberman Productions
110000000,72178895,80 Days Productions
110000000,72178895,Spanknyce Films
110000000,72178895,Fitzwilliam Productions
86000000,107944236,Canal Plus
86000000,107944236,Sofica Europacorp
86000000,107944236,Avalanche Productions
86000000,107944236,EuropaCorp
50000000,314178011,Gracie Films
50000000,314178011,TriStar Pictures
30000000,35294470,Rogue Pictures
30000000,35294470,Why Not Productions
30000000,35294470,Liaison Films
30000000,35294470,Biscayne Pictures
20000000,21170563,Warner Bros.
120000000,186053725,Walt Disney Pictures
120000000,186053725,Walt Disney Feature Animation
30000000,129266061,Universal Pictures
30000000,129266061,Studio Canal
30000000,129266061,Relativity Media
30000000,129266061,Working Title Films
25000000,66122026,Warner Bros.
25000000,66122026,CJ Entertainment
25000000,66122026,Southpaw Entertainment
63000000,296655431,New Line Cinema
63000000,296655431,Eric's Boy
63000000,296655431,Team Todd
63000000,296655431,Moving Pictures
63000000,296655431,Gratitude International
33000000,310940086,New Line Cinema
33000000,310940086,Eric's Boy
130000000,49554002,Bazmark Films
130000000,49554002,Ingenious Film Partners
130000000,49554002,Twentieth Century Fox Film Corporation
130000000,49554002,Dune Entertainment III
130000000,49554002,ScreenWest
7000000,2062066,Sony Pictures Classics
7000000,2062066,Propaganda Films
7000000,2062066,Good Machine
70000000,171183863,Impact Pictures
70000000,171183863,Studio Babelsberg
70000000,171183863,Twentieth Century Fox Film Corporation
70000000,171183863,Davis Entertainment
70000000,171183863,Stillking Films
70000000,171183863,Brandywine Productions
70000000,171183863,Lonlink Productions
70000000,171183863,Kut Productions
70000000,171183863,Inside Track Films
70000000,171183863,Charenton Productions Limited
70000000,171183863,Revolution Sun Studios
86000000,14373825,The Weinstein Company
86000000,14373825,Open City Films
86000000,14373825,GreeneStreet Films
30000000,254134910,Universal Pictures
30000000,254134910,Kennedy Miller Productions
90000000,69131860,Kennedy Miller Productions
25000000,135330182,Paramount Vantage
25000000,135330182,Media Rights Capital
25000000,135330182,Anonymous Content
25000000,135330182,Central Films
16000000,29381649,Columbia Pictures
16000000,29381649,New Deal Productions
12000000,36450736,TriStar Pictures
12000000,36450736,Crystal Sky Worldwide
12000000,36450736,Triumph
30000000,63833449,Relativity Media
30000000,63833449,Michaels-Goldwyn
50000000,16671505,Twentieth Century Fox Film Corporation
70000000,72108608,StudioCanal
70000000,72108608,M6 Films
70000000,72108608,Canal+
70000000,72108608,CinéCinéma
70000000,72108608,Babylon
70000000,72108608,Babylon Films Limited
70000000,72108608,M6
70000000,72108608,MNP Entreprise
19000000,381109762,Universal Pictures
19000000,381109762,Amblin Entertainment
19000000,381109762,U-Drive Productions
40000000,332e6,Universal Pictures
40000000,332e6,Amblin Entertainment
40000000,332e6,U-Drive Productions
40000000,244527583,Universal Pictures
40000000,244527583,Amblin Entertainment
40000000,244527583,U-Drive Productions
19000000,141407024,Columbia Pictures
19000000,141407024,Don Simpson/Jerry Bruckheimer Films
130000000,273339556,Columbia Pictures Corporation
130000000,273339556,Don Simpson/Jerry Bruckheimer Films
70000000,65977295,Jerry Bruckheimer Films
70000000,65977295,Touchstone Pictures
70000000,65977295,Stillking Films
23000000,76488889,Columbia Pictures
23000000,76488889,Triptych Pictures
23000000,76488889,Dimension Films (US version)
70000000,19924033,Epsilon Motion Pictures
70000000,19924033,Franchise Pictures
70000000,19924033,Dante Entertainment
70000000,19924033,Chris Lee Productions
70000000,19924033,SuperMega
70000000,19924033,MHF Erste Academy Film GmbH & Co. Produktions KG
858000,267447150,Walt Disney Productions
2000000,11833696,United Artists
2000000,11833696,Jack Rollins & Charles H. Joffe Productions
35000000,10496317,Ultra Films
35000000,10496317,TF1 Films Production
35000000,10496317,Canal+
35000000,10496317,TPS Star
35000000,10496317,EuropaCorp
35000000,10496317,A.J.O.Z. Films
75000000,67631903,Cheyenne Enterprises
75000000,67631903,Epsilon Motion Pictures
75000000,67631903,Empire Pictures
75000000,67631903,Metro-Goldwyn-Mayer (MGM)
75000000,67631903,Hyde Park Entertainment
75000000,67631903,Baltimore Spring Creek Productions
75000000,67631903,Lotus Pictures
45000000,42487390,Virtual Studios
45000000,42487390,Initial Entertainment Group
45000000,42487390,Saturn Films
45000000,42487390,International Production Company
45000000,42487390,Blue Star Pictures
45000000,42487390,Living Films
45000000,42487390,Bangkok Dangerous
12000000,9584131,Canal Plus
12000000,9584131,TF1 Films Production
12000000,9584131,EuropaCorp
9000000,25e5,Paramount Pictures
9000000,25e5,Dino de Laurentiis Cinematografica
9000000,25e5,Marianne Productions
51000000,72779e3,Paramount Pictures
51000000,72779e3,Nickelodeon Movies
51000000,72779e3,Paramount Animation
11000000,2e7,Hawk Films
11000000,2e7,Warner Bros.
11000000,2e7,Peregrine
50000000,42792561,Intermedia Films
50000000,42792561,Krane Entertainment
70000000,38629478,Intermedia Films
70000000,38629478,Kanzaman
70000000,38629478,C-2 Pictures
70000000,38629478,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
35000000,411348924,PolyGram Filmed Entertainment
35000000,411348924,The Guber-Peters Company
35000000,411348924,Warner Bros.
150000000,374218673,DC Comics
150000000,374218673,Legendary Pictures
150000000,374218673,Warner Bros.
150000000,374218673,DC Entertainment
150000000,374218673,Syncopy
150000000,374218673,Patalex III Productions Limited
100000000,336529144,Warner Bros.
100000000,336529144,Polygram Filmed Entertainment
80000000,28e7,PolyGram Filmed Entertainment
80000000,28e7,Warner Bros.
1700000,8844595,Twentieth Century Fox Film Corporation
1700000,8844595,Apjac International
53000000,95226116,Double Feature Films
53000000,95226116,Jersey Films
53000000,95226116,Nina Saxon Film Design
53000000,95226116,Metro-Goldwyn-Mayer (MGM)
60000000,60052138,Alcon Entertainment
60000000,60052138,Warner Bros.
60000000,60052138,Belle Pictures
60000000,60052138,3 Arts Entertainment
25000000,36351350,Metro-Goldwyn-Mayer (MGM)
14000000,32645546,Twentieth Century Fox Film Corporation
16500000,37311672,Ecosse Films
16500000,37311672,2 Entertain
16500000,37311672,Bueprint Pictures
48000000,90383208,Twentieth Century Fox Film Corporation
48000000,90383208,Regency Enterprises
48000000,90383208,KirchMedia
80000000,212874442,Walt Disney Pictures
80000000,212874442,Happy Madison Productions
80000000,212874442,Gunn Films
150000000,287594577,Pacific Data Images (PDI)
150000000,287594577,DreamWorks Animation
150000000,287594577,Columbus 81 Productions
17500000,19179969,Broken Lizard Industries
2500000,5535405,Detour Film Production
2700000,15992615,Castle Rock Entertainment
2700000,15992615,Detour Film Production
2700000,15992615,Warner Independent Pictures (WIP)
40000000,91753202,Twentieth Century Fox Film Corporation
40000000,91753202,Davis Entertainment
13000000,22863596,Gramercy Pictures
13000000,22863596,Propaganda Films
13000000,22863596,Single Cell Pictures
100000000,94061311,Paramount Pictures
100000000,94061311,Metro-Goldwyn-Mayer (MGM)
100000000,94061311,Sean Daniel Company
100000000,94061311,LightWorkers Media
3500159,76578641,Fox Searchlight Pictures
3500159,76578641,Kintop Pictures
3500159,76578641,Filmförderung Hamburg
3500159,76578641,UK Film Council
3000000,18999718,Twentieth Century Fox Film Corporation
3000000,18999718,APJAC Productions
70000000,195735876,Paramount Pictures
70000000,195735876,Shangri-La Entertainment
70000000,195735876,ImageMovers
70000000,195735876,Paramount Animation
20000000,149281606,Walt Disney Pictures
15000000,316360478,Paramount Pictures
15000000,316360478,Eddie Murphy Productions
20000000,299965036,Paramount Pictures
20000000,299965036,Eddie Murphy Productions
20000000,299965036,Don Simpson/Jerry Bruckheimer Films
50000000,119208989,Paramount Pictures
50000000,119208989,Eddie Murphy Productions
2053648,5e5,Imagine Entertainment
2053648,5e5,Universal Pictures
2053648,5e5,Lionsgate
2090000,4e7,Twentieth Century Fox Film Corporation
100000000,937e5,Laurence Mark Productions
100000000,937e5,1492 Pictures
100000000,937e5,Columbia Pictures Corporation
100000000,937e5,Touchstone Pictures
100000000,937e5,Radiant Productions
